,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
633,Independent House,"4 Bedroom House in Malibu Town, Gurgaon","4 Bedroom House in Malibu Town, Gurgaon",₹13 Cr,"₹40,123 /sqft",4,5,4 BHK,3240,"3,240 sqft",,,East,RESALE,,,,Garden,Corner propeety best loaction in malibu town,"Malibu Town, Gurgaon","Malibu Town, Gurgaon",East Facing Private Garden,House
634,Independent House,"4 Bedroom House in Urban Estate, Gurgaon","4 Bedroom House in Urban Estate, Gurgaon",₹5 Cr,"₹22,222 /sqft",4,4,4 BHK,2250,"2,250 sqft",Covered,,East,RESALE,,3.0,,"Parking, Park","Do you wish to buy an independent house in urban estate, gurgaon. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 250 sq.Yards and contains 4 bedrooms, 4 bathrooms and 3 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. This 1-5 years old property is availabl...","Urban Estate, Gurgaon","Urban Estate, Gurgaon",East Facing Gated Society,House
635,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹9 Cr,"₹37,037 /sqft",4,4,4 BHK,2430,"2,430 sqft",,,East,RESALE,,,,"Garden, Gated Community","Discover international living in an elite gated community. Welcome to your personal paradise that is crafted with vast living spaces and modern amenities. Nestled amidst lush greenery, these limited edition homes are a bespoke offering where grandeur knows no bounds.",International City by Sobha Phase 1,International City by Sobha Phase 1,East Facing Private Garden,House
636,Independent House,"6 Bedroom House in Sector 109, Gurgaon","6 Bedroom House in Sector 109, Gurgaon",₹14.5 Cr,"₹40,278 /sqft",6,7,6 BHK,3600,"3,600 sqft",,,North-East,RESALE,,,,Garden,"Its 6bhk + basement+ sq luxury duplex independent villa for sale at the price @14.5cr on dwarika expressway sector-109 with all modern facilities ,nice location, nearby by delhi airport and yasho bhumi metro station",International City by SOBHA Phase 2,International City by SOBHA Phase 2,North-East Facing Private Garden,House
637,Independent House,"5 Bedroom House in DLF Phase 1, Gurgaon","5 Bedroom House in DLF Phase 1, Gurgaon",₹14.8 Cr,"₹21,142 /sqft",5,6,5 BHK,7000,"7,000 sqft",Built-up,,,RESALE,,,,Garden,"300 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Independent Villa,Independent Villa,,House
638,Independent House,"2 Bedroom House in Sushant Lok Phase 1, Gurgaon","2 Bedroom House in Sushant Lok Phase 1, Gurgaon",₹9.5 Cr,"₹49,096 /sqft",2,2,2 BHK,1935,"1,935 sqft",Covered,,North-East,RESALE,,1.0,,"Parking, Park","This 2 bhk house for sale in sushant lok phase 1, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 2 bedrooms, 2 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 215 sq.Yards. The houses comes with dedicated 1 covered and 1 open parking space(s) where you c...","Sushant Lok Phase 1, Gurgaon","Sushant Lok Phase 1, Gurgaon",North-East Facing Gated Society,House
639,Independent House,"5 Bedroom House in Sector 72, Gurgaon","5 Bedroom House in Sector 72, Gurgaon",₹15.75 Cr,"₹18,529 /sqft",5,5,5 BHK,8500,"8,500 sqft",Built-up,,North-East,RESALE,,,,Garden,"Tata primanti villas offer an elegant blend of modern architecture and serene natural living in one of gurgaons most coveted addresses. Designed for those who appreciate privacy, space, and refined luxury, these villas feature expansive layouts, lush landscaped surroundings, and premium finishes that elevate everyday living. With world-Class amenities and a tranquil, green environment, tata pri...",Tata Primanti,Tata Primanti,North-East Facing Private Garden,House
640,Independent House,"5 Bedroom House in Sector 48, Gurgaon","5 Bedroom House in Sector 48, Gurgaon",₹29 Cr,"₹32,222 /sqft",5,6,5 BHK,9000,"9,000 sqft",,,North,RESALE,,,,Garden,"Tatvam villas in gurgaon is an exclusive luxury residential community located in sector 48, along the prime sohna road. Developed by vipul limited, the project offers elegantly designed independent villas surrounded by beautifully landscaped greenery. Each villa features spacious interiors, private lawns, and modern architecture that blends comfort with sophistication. Residents enjoy a wide ra...",Vipul Tatvam Villa,Vipul Tatvam Villa,North Facing Private Garden,House
641,Independent House,"5 Bedroom House in Sohna, Gurgaon","5 Bedroom House in Sohna, Gurgaon",₹10 Cr,"₹32,206 /sqft",5,5,5 BHK,3105,"3,105 sqft",,,East,RESALE,,,"Study Room, Pooja Room","Garden, Park",Luxury villa for sale central park flower valley (Fleur villa) Experience premium living in this beautifully designed fleur villa located in the prestigious central park flower valley. Property details: Plot size: 345 sq. Yards Configuration: 5 bhk villa Spacious drawing room Separate pooja room Dedicated study room Modern modular kitchen 5 well-Designed bathrooms East facing villa Two-Side ope...,Central Park Flower Valley Fleur Villas,Central Park Flower Valley Fleur Villas,East Facing Private Garden,House
642,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹10 Cr,"₹18,518 /sqft",5,5,5 BHK,5400,"5,400 sqft",Built-up,,North-East,RESALE,,,,,"Sobha city gurgaon villas offer advantages like low-Density, green living (Only 6 villas/acre) with large plots, premium amenities (Clubhouse, sports courts, creche), high-Quality sobha construction, and excellent connectivity via dwarka expressway to igi airport, cyber city, and nh-48, promising a blend of luxury, space, and convenience in a well-Planned, secure township with high investment p...",International City by Sobha Phase 1,International City by Sobha Phase 1,North-East Facing Dps Nearby,House
643,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹15 Cr,"₹41,667 /sqft",5,6,5 BHK,3600,"3,600 sqft",,,East,RESALE,,,,Garden,"Sobha international city sector-109, gurgaon- Overview An exclusive villa township International city is a secured and low density villa community with just 6 plots per acre*. Spread across 150 acres, it offers presidential villas, duplex villas and luxury row houses. A well phased development A strategically planned development, the international city has been designed and being executed in fo...",International City by Sobha Phase 1,International City by Sobha Phase 1,East Facing Private Garden,House
644,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹18 Cr,"₹57,143 /sqft",5,5,5 BHK,3150,"3,150 sqft",,,,RESALE,,,,,Property is situated in emaar marbella sector 65 gurgaon,Emaar MGF Marbella,Emaar MGF Marbella,Gated Society,House
645,Independent House,"3 Bedroom House in Sector 40, Gurgaon","3 Bedroom House in Sector 40, Gurgaon",₹8.5 Cr,"₹35,910 /sqft",3,3,3 BHK,2367,"2,367 sqft",,2,,RESALE,,,,,"Independent house for sale sector 40, gurgaon Plot size: 263 sq. Yards Rental income 1.50 lac Structure: Basement 2 floors 3 bhk each 1 floor 2 bhk Ideal for: Large family | rental income | investor","Sector 40, Gurgaon","Sector 40, Gurgaon",Marble Flooring,House
646,Independent House,"9 Bedroom House in Sector 63, Gurgaon","9 Bedroom House in Sector 63, Gurgaon",₹15 Cr,"₹55,556 /sqft",9,9,9 BHK,2700,"2,700 sqft",,,North-East,RESALE,,,,Garden,"Uniquely positioned at both side facing a beautiful lake with ducks, fishes , birds , water springs , thick lush greens This property syncretises modernity and class. A promise to the buyer for a lifestyle that speaks of comfort and subtle yet royale and serene.",Adani Brahma Samsara Vilasa,Adani Brahma Samsara Vilasa,North-East Facing Private Garden,House
647,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹11.5 Cr,"₹35,008 /sqft",4,4,4 BHK,3285,"3,285 sqft",,,,RESALE,,,Servant Room,"Power Backup, Swimming Pool","Tatnam villas sector 48 gurgaon , 4 bhk + servant room with super build up area 4000 sqft flat with modular kitchen and power backup, personal swimming pool in backyard, lawn in front of villa, east facing. For more details call.",Vipul Tatvam Villa,Vipul Tatvam Villa,,House
648,Independent House,"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon","11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹3.49 Cr,"₹63,570 /sqft",11,11,11 BHK,549,549 sqft,,,North,RESALE,Fully Furnished,,,"Security, CCTV","This property is purely made for rental income. Property with 60 square yards are rare in location like sushant lok-1, block-C. This property is newly constructed with 11 fully furnished studio apartments along with all necessary amenities tailored as per tenants needs like wifi, ro. The building is secured with systems like bio-Metric and cctv cameras providing additional security to the tenan...","Block C, Sushant Lok Phase 1, Gurgaon","Block C, Sushant Lok Phase 1, Gurgaon",North Facing Huda Metro within 1km,House
649,Independent House,"9 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon","9 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",₹14.5 Cr,"₹38,543 /sqft",9,9,9 BHK,3762,"3,762 sqft",,,,RESALE,,,,Garden,It is built up house available in sushant lok phase 1 c block near by mg road It is west facing and living conditions house.,"A Block Sushant Lok Phase 1, Gurgaon","A Block Sushant Lok Phase 1, Gurgaon",Private Garden Gated Society,House
650,Independent House,"9 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon","9 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",₹11.5 Cr,"₹42,593 /sqft",9,9,9 BHK,2700,"2,700 sqft",Built-up,,,RESALE,,,,Park,It is a built-Up house good for rental and investment both . Rental coming at 2 lakh Right now On 12 mtr road and park facing,"A Block Sushant Lok Phase 1, Gurgaon","A Block Sushant Lok Phase 1, Gurgaon",Gated Society Corner Property,House
651,Independent House,"3 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon","3 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹8 Cr,"₹41,344 /sqft",3,3,3 BHK,1935,"1,935 sqft",,,,RESALE,,,,,215 square yard plot villas in sushant lok phase 1 c block near by veyapar kender market,"Block C, Sushant Lok Phase 1, Gurgaon","Block C, Sushant Lok Phase 1, Gurgaon",Gated Society Corner Property,House
652,Independent House,"4 Bedroom House in Block C 1 Palam Vihar, Gurgaon","4 Bedroom House in Block C 1 Palam Vihar, Gurgaon",₹6.5 Cr,"₹30,218 /sqft",4,4,4 BHK,2151,"2,151 sqft",,,North,RESALE,,,,"Parking, Garden, Park","Independent house for sale palam vihar, gurgaon Old built independent house on a 239 sq. Yds. Plot in the prime locality of palam vihar, gurgaon. The house features 4 spacious bedrooms with attached washrooms, offering comfort and privacy for the entire family. North-Facing property (As per vastu) Park-Facing with open green views and park facing 2 car parking spaces Located in a well-Developed...","Block C 1 Palam Vihar, Gurgaon","Block C 1 Palam Vihar, Gurgaon",North Facing Private Garden,House
653,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.88 Cr,"₹17,511 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North,RESALE,,2.0,,"Parking, Park","Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector-33 sohna, gurgaon and make it your new address. This house occupies a super built up area of 4500 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. As the property is already ready to m...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
654,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,287 /sqft",3,3,3 BHK,4830,"4,830 sqft",,,North,RESALE,,2.0,,"Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to highway and close to mall. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread o...",Central Park Flower Valley,Central Park Flower Valley,North Facing Private Garden,House
655,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.33 Cr,"₹17,246 /sqft",3,3,3 BHK,4830,"4,830 sqft",,,East,RESALE,,2.0,,"Garden, Park","Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. This residential house is located close to close to school, close to hospital and close to highway. Constructed on a super built up area of 4830 sq.Ft., this house comprises 3 bedrooms, 3 bathrooms and 2 balconi...",Central Park Flower Valley,Central Park Flower Valley,East Facing Private Garden,House
656,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.35 Cr,"₹17,287 /sqft",3,3,3 BHK,4830,"4,830 sqft",,,North-East,RESALE,,,,"Garden, Park","This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The property's proximity to landmarks like close to hospital, close to school, close to highway and close to mall makes it ideal property for families. The house has over super built up area of 4830 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and ...",Central Park Flower Valley,Central Park Flower Valley,North-East Facing Private Garden,House
657,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹8.34 Cr,"₹17,267 /sqft",3,3,3 BHK,4830,"4,830 sqft",,,North-East,RESALE,,2.0,,"Garden, Park","Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. Owing to its key locations, several landmarks like close to hospital, close to school, close to mall and close to highway are easily accessible. The house has over super built up area of 4830 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconi...",Central Park Flower Valley,Central Park Flower Valley,North-East Facing Private Garden,House
658,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,North,RESALE,,2.0,,Park,"This 3 bhk house for sale in sector-33 sohna, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. Another plus point for the house is that it is situated near close to hospital, close to mall and close to highway. This house occupies a super built up area of 4500 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house comes...",Central Park Flower Valley,Central Park Flower Valley,North Facing Medanta Nearby,House
659,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,East,RESALE,,2.0,,"Parking, Park","Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. As the property is already ready to move, so you ...",Central Park Flower Valley,Central Park Flower Valley,East Facing Gated Society,House
660,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.89 Cr,"₹17,533 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North,RESALE,,2.0,,"Parking, Park","Looking to buy an independent house in gurgaon? Do check out this 3 bhk house in sector-33 sohna, which is an ideal choice for a family. The house has over super built up area of 4500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. As the property is already ready to move, so you can easil...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
661,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.89 Cr,"₹17,533 /sqft",3,3,3 BHK,4500,"4,500 sqft",,,,RESALE,,2.0,,Park,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sector-33 sohna, a well-Planned and well-Connected locality in gurgaon. This residential house is located close to close to hospital and close to highway. This house occupies a super built up area of 4500 sq.Ft. And contains 3 bedrooms, 3 bathrooms and 2 balconies. This 3 bhk house ...",Central Park Flower Valley,Central Park Flower Valley,Medanta Nearby Gated Society,House
662,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",₹7.9 Cr,"₹17,555 /sqft",3,3,3 BHK,4500,"4,500 sqft",Covered,,North,RESALE,,2.0,,"Parking, Park","Check out this 3 bhk house for sale in sector-33 sohna, a popular residential locality that contains many of the in-Demand properties in gurgaon. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 4500 sq.Ft. There is 1 covered & 1 open parking available with this house. As the property is alrea...",Central Park Flower Valley,Central Park Flower Valley,North Facing Gated Society,House
663,Independent House,"30 Bedroom House in Sector 1 Imt Manesar, Gurgaon","30 Bedroom House in Sector 1 Imt Manesar, Gurgaon",₹10 Cr,"₹20,645 /sqft",30,27,30 BHK,4843,"4,843 sqft",,,,RESALE,,,,,450 meter independent house available on 30 meter road which has built basement ground floor first floor second floor call for more details.,"Sector 1 Imt Manesar, Gurgaon","Sector 1 Imt Manesar, Gurgaon",,House
664,Independent House,"9 Bedroom House in Sector 40, Gurgaon","9 Bedroom House in Sector 40, Gurgaon",₹8.6 Cr,"₹34,372 /sqft",9,9,9 BHK,2502,"2,502 sqft",,,,RESALE,,,,Garden,278sq.Yd 18mtr road 9bhk with basement for sale in huda sector 40 gurgaon close to huda market more details call us..,"Sector 40, Gurgaon","Sector 40, Gurgaon",Private Garden huda city center within 1.5km,House
665,Independent House,"5 Bedroom House in Sector 112, Gurgaon","5 Bedroom House in Sector 112, Gurgaon",₹8.25 Cr,"₹12,692 /sqft",5,5,5 BHK,6325,"6,325 sqft",Built-up,,,RESALE,,,,Park,"5 bhk villament/ duplex for sale. Keys in hand. This is all inclusive price. We are authorized rera registered channel partner. We have multiple options available with distress deal, best price guaranteed. We believe into making trust and giving right information with fine advisory. One call makes a difference.",Experion Windchants,Experion Windchants,Newly Constructed Overlooking Park,House
666,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹18 Cr,"₹57,143 /sqft",5,6,5 BHK,3150,"3,150 sqft",,,,RESALE,,,,"Power Backup, Garden, Security, Gated Community, Park","Description:Available for sale villa in emaar marbella sector 66. One of the best locality on golf course extension road. Gated community with 24 hrs power backup and security. The society has all the modern amenities such as pool, park, club etc. The villas are very spacious and theme based on spanish villas, multiple options available of different sizes in monada, belleza and belinda. For mor...",Emaar MGF Marbella,Emaar MGF Marbella,Private Garden Recently Renovated,House
667,Independent House,"6 Bedroom House in Sector 21, Gurgaon","6 Bedroom House in Sector 21, Gurgaon",₹6 Cr,"₹24,691 /sqft",6,6,6 BHK,2430,"2,430 sqft",Covered,,North-East,RESALE,,2.0,,"Parking, Park","Check out this 6 bhk house for sale in sector 21 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. This house occupies a super built up area of 270 sq.Yards and contains 6 bedrooms, 6 bathrooms and 2 balconies. The owner of the house also gets 2 covered and 2 open parking slot(s) to park their car safely. Being a ready to move house, you can expe...","Sector 21, Gurgaon","Sector 21, Gurgaon",North-East Facing Gated Society,House
668,Independent House,"3 Bedroom House in Malibu Town, Gurgaon","3 Bedroom House in Malibu Town, Gurgaon",₹7.5 Cr,"₹33,200 /sqft",3,2,3 BHK,2259,"2,259 sqft",,,North-East,RESALE,,,,Garden,"Available for sale in malibu town sec 47, Plot size 251sqyd signal story building Very prime location, plz call more information",Malibu Towne,Malibu Towne,North-East Facing Private Garden,House
669,Independent House,"6 Bedroom House in DLF Phase 1, Gurgaon","6 Bedroom House in DLF Phase 1, Gurgaon",₹18 Cr,"₹40,000 /sqft",6,7,6 BHK,4500,"4,500 sqft",Built-up,,North-East,RESALE,,,,Garden,"500 sq yards luxury villa for sale in dlf 1 gurgaon Property features: Bedrooms: 6 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, terrac...",Smart Villa in DLF 1,Smart Villa in DLF 1,North-East Facing Private Garden,House
670,Independent House,"7 Bedroom House in DLF Phase 1, Gurgaon","7 Bedroom House in DLF Phase 1, Gurgaon",₹37.75 Cr,"₹39,736 /sqft",7,8,7 BHK,9500,"9,500 sqft",,,,RESALE,,,,Garden,"500 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms:7 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, t...",Luxurious Villa,Luxurious Villa,Private Garden Recently Renovated,House
671,Independent House,"6 Bedroom House in DLF Phase 2, Gurgaon","6 Bedroom House in DLF Phase 2, Gurgaon",₹22.5 Cr,"₹50,000 /sqft",6,7,6 BHK,4500,"4,500 sqft",Built-up,,,RESALE,,,,Garden,"500 sq yards luxury villa for sale in dlf phase 2 gurgaon Property features: Bedrooms: 6 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Luxury Villa,Luxury Villa,,House
672,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹22 Cr,"₹23,157 /sqft",5,6,5 BHK,9500,"9,500 sqft",Built-up,,,RESALE,,,,,"500 sq yards luxury villa for sale in emaar marbella gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garde...",Emaar MGF Marbella,Emaar MGF Marbella,,House
673,Independent House,"4 Bedroom House in Sector 66, Gurgaon","4 Bedroom House in Sector 66, Gurgaon",₹16.5 Cr,"₹20,625 /sqft",4,5,4 BHK,8000,"8,000 sqft",Built-up,,,RESALE,,,,,"360 sq yards luxury villa for sale in emaar marbella gurgaon Property features: Bedrooms: 4 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garde...",Emaar MGF Marbella,Emaar MGF Marbella,,House
674,Independent House,"5 Bedroom House in DLF Phase 1, Gurgaon","5 Bedroom House in DLF Phase 1, Gurgaon",₹19.25 Cr,"₹42,777 /sqft",5,6,5 BHK,4500,"4,500 sqft",Built-up,,,RESALE,,,,Garden,"500 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Spacious Villa,Spacious Villa,,House
675,Independent House,"5 Bedroom House in DLF Phase 1, Gurgaon","5 Bedroom House in DLF Phase 1, Gurgaon",₹13.5 Cr,"₹37,500 /sqft",5,6,5 BHK,3600,"3,600 sqft",Built-up,,North-East,RESALE,,,,Garden,"400 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Spacious Layout Villa,Spacious Layout Villa,North-East Facing Recently Renovated,House
676,Independent House,"5 Bedroom House in DLF Phase 1, Gurgaon","5 Bedroom House in DLF Phase 1, Gurgaon",₹14.5 Cr,"₹44,753 /sqft",5,6,5 BHK,3240,"3,240 sqft",,,East,RESALE,,,,Garden,"360 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Ultra-Luxury Villa,Ultra-Luxury Villa,East Facing Private Garden,House
677,Independent House,"5 Bedroom House in DLF Phase 2, Gurgaon","5 Bedroom House in DLF Phase 2, Gurgaon",₹17.25 Cr,"₹47,916 /sqft",5,6,5 BHK,3600,"3,600 sqft",,,,RESALE,,,,Garden,"400 sq yards luxury villa for sale in dlf phase 2, gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden,...",Independent Luxury Villa,Independent Luxury Villa,,House
678,Independent House,"5 Bedroom House in DLF Phase 2, Gurgaon","5 Bedroom House in DLF Phase 2, Gurgaon",₹17 Cr,"₹37,778 /sqft",5,6,5 BHK,4500,"4,500 sqft",,,,RESALE,,,,Garden,"500 sq yards luxury villa for sale in dlf phase 2 gurgaon Property features: Bedrooms: 5 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",,House
679,Independent House,"7 Bedroom House in Sushant Lok, Gurgaon","7 Bedroom House in Sushant Lok, Gurgaon",₹21 Cr,"₹46,481 /sqft",7,6,7 BHK,4518,"4,518 sqft",,,East,RESALE,,,,"Garden, Park",Kothi for sale in sushant lok 1 a block park facing east facing very good location with noc . With basement near metro. I have more option in dlf and sushant lok sector etc. Nine eight one eight seven double five nine seven two.,"Sushant Lok, Gurgaon","Sushant Lok, Gurgaon",East Facing Private Garden,House
680,Independent House,"2 Bedroom House in Sector 9, Gurgaon","2 Bedroom House in Sector 9, Gurgaon",₹2.7 Cr,"₹30,000 /sqft",2,2,2 BHK,900,900 sqft,,,East,RESALE,,,,Garden,100 sq yard independent house sector 9 gurgaon .2 bhk independent house sector 9 gurgaon.,"Sector 9, Gurgaon","Sector 9, Gurgaon",East Facing Private Garden,House
681,Independent House,"4 Bedroom House in Sector 92, Gurgaon","4 Bedroom House in Sector 92, Gurgaon",₹4.25 Cr,"₹17,172 /sqft",4,4,4 BHK,2475,"2,475 sqft",,,North-East,RESALE,,,,Garden,"Available for sale ansale height villa sector 92 4bhk +servant market reasonable price new gurgaon near dwarka expressway ,",Ansal Heights,Ansal Heights,North-East Facing Private Garden,House
682,Independent House,"2 Bedroom House in Sector 38, Gurgaon","2 Bedroom House in Sector 38, Gurgaon",₹4 Cr,"₹44,444 /sqft",2,2,2 BHK,900,900 sqft,,,North-East,RESALE,,,,,"100 sq yard building for sale in sector 38 near neta ji subhas marg and near upcoming metro station sector 38 . Expcted rent around 1.25 lac pr month . We have many options in huda plots , flats and builder floors . For more information please contact us.",Sector 38 RWA,Sector 38 RWA,North-East Facing Upcoming metro station within 250m,House
